dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_520', '01_HOOFD_505')",0.01367347353236372
BPIC15,AggregateType.AVG,0.3,"('01_BB_590', '01_BB_550')",0.18442207810403688
BPIC15,AggregateType.AVG,0.3,"('01_BB_550', '01_BB_560')",0.5804552696404395
BPIC15,AggregateType.AVG,0.3,"('01_BB_560', '01_BB_630')",0.9231365646752889
BPIC15,AggregateType.AVG,0.3,"('01_BB_730', '01_BB_740')",0.6244831740041018
BPIC15,AggregateType.AVG,0.3,"('01_BB_760', '01_HOOFD_490_1')",0.20000884563541144
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_350_1', '01_HOOFD_350_2')",0.002533027655775566
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_350_2', '09_AH_I_010')",0.12628486028593455
BPIC15,AggregateType.AVG,0.3,"('06_VD_070', '01_HOOFD_600_2')",0.2713692583471461
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_600_2', '01_HOOFD_580_2')",0.7392048031973024
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_580_2', '06_VD_030_2')",0.8923763602275474
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_540', '01_HOOFD_550')",1.2375273395931696
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_570', '01_HOOFD_580_1')",0.02319734606559276
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_580_1', '01_HOOFD_590')",1.7960472227657163
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_590', '01_HOOFD_600_1')",0.8515372286672114
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_600_1', '01_HOOFD_130')",1.3007823572109682
BPIC15,AggregateType.AVG,0.3,"('11_AH_II_020_1', '11_AH_II_040')",0.03572522338179285
BPIC15,AggregateType.AVG,0.3,"('11_AH_II_040', '11_AH_II_070')",0.09736213498903457
