dataset,aggregate_type,delta,median_epsilon,MAPE,SMAPE
BPIC20,AggregateType.MAX,0.8,inf,0.12129805636643679,0.050235691938390246
BPIC20,AggregateType.MAX,0.9,inf,0.060274584413181696,0.026316247372280895
BPIC20,AggregateType.MIN,0.01,0.0003436180269600925,4027105.1106856363,1.2890323397587737
BPIC20,AggregateType.MIN,0.05,0.0016522708831285472,1332676.41304481,1.2563383313753351
BPIC20,AggregateType.MIN,0.1,0.0032467006598148286,808605.509439003,1.2113636004723904
BPIC20,AggregateType.MIN,0.2,0.00639673920703019,678517.7572610064,1.1676452994526236
BPIC20,AggregateType.MIN,0.3,0.009825214437006501,532157.5621655897,1.1033967433895655
BPIC20,AggregateType.MIN,0.4,0.013929358577201432,638840.3831169137,1.0847573579614256
BPIC20,AggregateType.MIN,0.5,0.0264084843472148,556751.677719667,0.9283726961149077
BPIC20,AggregateType.MIN,0.6,0.36450340794815866,400781.72230067645,1.2246028164483005
BPIC20,AggregateType.MIN,0.7,inf,271758.37460427097,0.6881921583753563
BPIC20,AggregateType.MIN,0.8,inf,409565.03173010045,0.5133841277478579
BPIC20,AggregateType.MIN,0.9,inf,411154.2314843511,0.3569765417846706
BPIC20,AggregateType.SUM,0.01,0.02988451367535729,9.548589751316527,0.6746252655276097
BPIC20,AggregateType.SUM,0.05,0.12370846832135121,1.9735250897340078,0.37449843879298184
BPIC20,AggregateType.SUM,0.1,0.2146215163143237,1.0243090843413065,0.26513372630493093
BPIC20,AggregateType.SUM,0.2,0.38397715741348665,0.523819978140032,0.17177972957941534
BPIC20,AggregateType.SUM,0.3,0.5041558526723735,0.348974820663797,0.12851982470491674
BPIC20,AggregateType.SUM,0.4,0.7086709949972352,0.24363834942784884,0.09665906721035399
BPIC20,AggregateType.SUM,0.5,3.2970200854281098,0.14902578156395332,0.062413979695932875
BPIC20,AggregateType.SUM,0.6,85.78463665255484,0.11180782702069196,0.04793066689256006
BPIC20,AggregateType.SUM,0.7,inf,0.06324876922618758,0.02811343018705814
BPIC20,AggregateType.SUM,0.8,inf,0.034351241716491836,0.015621145266389127
BPIC20,AggregateType.SUM,0.9,inf,0.012827937660257815,0.006055677874708286
CCC19,AggregateType.AVG,0.01,inf,0.5116309940071784,0.17700353980649586
CreditReq,AggregateType.AVG,0.01,0.0006284510288746592,103.09783230947173,1.8359471220701618
CreditReq,AggregateType.AVG,0.05,0.0028902088370092423,27.05117613493831,1.5484287764044096
CreditReq,AggregateType.AVG,0.1,0.0053177096276915544,12.847513245827773,1.2282735539914904
CreditReq,AggregateType.AVG,0.2,0.009426227024462566,8.655141735708089,1.0573398566433405
CreditReq,AggregateType.AVG,0.3,0.013060355151285008,7.8643025071165455,1.0575229689074452
CreditReq,AggregateType.AVG,0.4,0.016584471870448224,5.951598010926506,0.9014829304605015
CreditReq,AggregateType.AVG,0.5,0.020298702960156012,4.412935393733337,0.8345078347345204
CreditReq,AggregateType.AVG,0.6,0.024618854108722277,5.210616151727171,0.8507810691157637
CreditReq,AggregateType.AVG,0.7,0.03050456524020493,3.7654457290228978,0.6901850411125712
CreditReq,AggregateType.AVG,0.8,0.039080199998052775,2.783456978117915,0.6561355721204546
CreditReq,AggregateType.AVG,0.9,0.05313600762136296,2.911735797052537,0.6172491706313703
CreditReq,AggregateType.FREQ,0.01,0.04000133341333913,0.0048166751005986035,0.0024022498176274917
CreditReq,AggregateType.FREQ,0.05,0.20016691711396528,0.0009462709968106147,0.00047290222988075043
CreditReq,AggregateType.FREQ,0.1,0.40134139092430254,0.00042329210752993057,0.00021160799660664974
CreditReq,AggregateType.FREQ,0.2,0.810930216216329,0.0002278845797324171,0.00011392873938416447
CreditReq,AggregateType.FREQ,0.3,1.2380784168124461,0.00014826402016684896,7.412689823034616e-05
CreditReq,AggregateType.FREQ,0.4,1.6945957207744073,0.00012257135439404292,6.128159920917185e-05
CreditReq,AggregateType.FREQ,0.5,2.197224577336219,8.489843209959097e-05,4.244737939197812e-05
CreditReq,AggregateType.FREQ,0.6,2.772588722239781,6.345336861720609e-05,3.172562234620399e-05
CreditReq,AggregateType.FREQ,0.7,3.4692021107762123,5.7745063969600054e-05,2.887171170261287e-05
CreditReq,AggregateType.FREQ,0.8,4.394449154672437,4.761426589512888e-05,2.3806613214818525e-05
CreditReq,AggregateType.FREQ,0.9,5.888877958332883,3.313278218146185e-05,1.6566115005378668e-05
CreditReq,AggregateType.MAX,0.01,0.025664372719762123,16.079090578353615,1.2356922230033764
CreditReq,AggregateType.MAX,0.05,0.10917585600273219,3.9093164362891066,0.7921060988556579
CreditReq,AggregateType.MAX,0.1,0.1883009937295308,2.568129780842095,0.6020074811747664
