dataset,aggregate_type,alpha,epsilon_freq,epsilon_time,delta_freq_median,delta_time_median,delta_freq_max,delta_time_max
CreditRequirement,AggregateType.MIN,0.9,0.0005099009229904325,0.18578184642195292,0.00012747523005709555,0.0,0.00012747523005709555,0.0
CreditRequirement,AggregateType.MAX,0.01,0.04589108306913892,16.720366177975762,0.01147226742799839,0.0,0.01147226742799839,0.0
CreditRequirement,AggregateType.MAX,0.05,0.009178216613827787,3.3440732355951517,0.0022945501265391323,0.0,0.0022945501265391323,0.0
CreditRequirement,AggregateType.MAX,0.1,0.004589108306913893,1.6720366177975758,0.0011472765733629702,0.0,0.0011472765733629702,0.0
CreditRequirement,AggregateType.MAX,0.2,0.0022945541534569467,0.8360183088987879,0.0005736384754435168,0.0,0.0005736384754435168,0.0
CreditRequirement,AggregateType.MAX,0.3,0.0015297027689712979,0.5573455392658587,0.0003824256735996763,0.0,0.0003824256735996763,0.0
CreditRequirement,AggregateType.MAX,0.4,0.0011472770767284733,0.41800915444939396,0.0002868192613170038,0.0,0.0002868192613170038,0.0
CreditRequirement,AggregateType.MAX,0.5,0.0009178216613827786,0.33440732355951525,0.00022945541131877482,0.0,0.00022945541131877482,0.0
CreditRequirement,AggregateType.MAX,0.6,0.0007648513844856489,0.27867276963292936,0.00019121284379101602,0.0,0.00019121284379101602,0.0
CreditRequirement,AggregateType.MAX,0.7,0.000655586900987699,0.23886237397108234,0.00016389672377938968,0.0,0.00016389672377938968,0.0
CreditRequirement,AggregateType.MAX,0.8,0.0005736385383642367,0.20900457722469698,0.00014340963360789366,0.0,0.00014340963360789366,0.0
CreditRequirement,AggregateType.MAX,0.9,0.0005099009229904325,0.18578184642195292,0.00012747523005709555,0.0,0.00012747523005709555,0.0
